symbol,timeframe,slice_combination,side,short_cost_bps,train_n,train_mean_ret_costadj,train_baseline_mean_ret_costadj,train_excess_vs_baseline,train_best_parent_filter,train_best_parent_mean_ret_costadj,train_excess_vs_best_parent,train_t_stat_nw,train_pass,valid_n,valid_mean_ret_costadj,valid_baseline_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_best_parent_mean_ret_costadj,valid_excess_vs_best_parent,valid_t_stat_nw,valid_p_value_nw,valid_pass,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,survived,verdict
AMD,1d,state_ext=stretched_up + state_slope=flat,long,0.0,120,0.024473646170477224,0.00409280601024234,0.020380840160234885,state_slope=flat,0.011968225276014962,0.012505420894462263,2.1543979410482104,True,45,0.0658271244599888,0.023486370913612498,0.0423407535463763,state_ext=stretched_up,0.042831035751643674,0.022996088708345123,2.462302726804145,0.013804809233688875,True,4,2,1001,0.5,True,survived
NVDA,1d,state_ext=stretched_down + state_vol=low_vol,long,0.0,49,0.018383574541226983,0.0037247972850810974,0.014658777256145885,state_vol=low_vol,0.021783763502351425,-0.0034001889611244424,1.9782942813392703,True,36,0.031701083868017906,0.006222284547518268,0.025478799320499637,state_ext=stretched_down,0.01940309070182164,0.012297993166196265,2.7770714342596645,0.0054851122430639165,True,4,1,0001,0.25,True,survived
AVGO,1d,state_ext=stretched_down + state_slope=downtrend,long,0.0,170,0.016386499801884752,0.005773936929836764,0.010612562872047988,state_ext=stretched_down,0.01695890567549554,-0.0005724058736107894,1.9994146100348766,True,94,0.027185892679822153,0.008041527190955315,0.01914436548886684,state_slope=downtrend,0.02409219077283175,0.0030937019069904037,2.185133428726196,0.028879064846361713,True,4,2,0101,0.5,True,survived
TSM,1d,state_ext=stretched_up + state_vol=mid_vol,long,0.0,157,0.016076864558905283,0.003979175719842423,0.01209768883906286,state_vol=mid_vol,0.007173991416732201,0.008902873142173081,2.141324911280696,True,83,0.01440256918663799,0.011791114208122037,0.002611454978515953,state_ext=stretched_up,0.012558915743125206,0.0018436534435127844,2.2710923689636595,0.023141386858066326,True,4,1,0100,0.25,True,survived
NVDA,1d,state_ext=stretched_up + state_vol=low_vol,long,0.0,128,0.02582946773580641,0.0037247972850810974,0.022104670450725315,state_vol=low_vol,0.021783763502351425,0.004045704233454985,2.459833846281875,True,105,0.012651702611739838,0.006222284547518268,0.00642941806422157,state_vol=low_vol,0.016256962111264938,-0.0036052594995250997,2.121899292295053,0.033846195900070875,True,4,0,0000,0.0,True,survived
AVGO,1d,state_ext=neutral + state_vol=low_vol,long,0.0,104,0.017552051744638655,0.005773936929836764,0.011778114814801892,state_vol=low_vol,0.01851663159536018,-0.0009645798507215246,2.5491444932538867,True,10,0.08392064486332163,0.008041527190955315,0.07587911767236631,state_vol=low_vol,0.020903441042151635,0.06301720382116999,2.7925119697766436,0.005230053255123046,False,4,1,1000,0.25,False,provisional
AVGO,1d,state_ext=stretched_down + state_vol=low_vol,long,0.0,88,0.023824054028677155,0.005773936929836764,0.01805011709884039,state_vol=low_vol,0.01851663159536018,0.005307422433316975,2.3735557159499074,True,5,0.03945235060667739,0.008041527190955315,0.03141082341572208,state_vol=low_vol,0.020903441042151635,0.01854890956452576,6.222214470369824,4.901863359663139e-10,False,4,2,1100,0.5,False,provisional
MU,1d,state_ext=neutral + state_slope=downtrend,long,0.0,46,0.0026056623368010197,0.002420679644454857,0.0001849826923461628,state_slope=downtrend,0.010554231570357118,-0.007948569233556099,0.34871045263116224,False,10,0.09196149222588727,0.03936221203450741,0.05259928019137986,state_slope=downtrend,0.056080937344865335,0.03588055488102194,7.598828373676951,2.9753977059954195e-14,False,4,0,0000,0.0,False,rejected
AMD,1d,state_ext=stretched_down + state_slope=uptrend,long,0.0,8,-0.03467533266727471,0.00409280601024234,-0.03876813867751705,state_ext=stretched_down,-0.0007526354194144044,-0.0339226972478603,-2.3563967962885624,False,5,0.07922997315903865,0.023486370913612498,0.055743602245426155,state_slope=uptrend,0.03456099033030624,0.04466898282873241,4.705628854141176,2.530845896853151e-06,False,4,0,0000,0.0,False,rejected
MU,1d,state_ext=neutral + state_vol=mid_vol,long,0.0,59,0.0054980069661900825,0.002420679644454857,0.0030773273217352256,state_vol=mid_vol,-0.0007299032283430663,0.006227910194533149,0.5804135695077055,False,9,0.064963298224041,0.03936221203450741,0.025601086189533585,state_vol=mid_vol,0.05384592553617776,0.011117372687863239,2.3641743737224097,0.01807030502385687,False,4,0,0000,0.0,False,rejected
MU,1d,state_ext=stretched_down + state_slope=downtrend,long,0.0,245,0.011473752594238308,0.002420679644454857,0.009053072949783452,state_slope=downtrend,0.010554231570357118,0.00091952102388119,1.6162466633133776,False,57,0.06345120332247249,0.03936221203450741,0.02408899128796508,state_slope=downtrend,0.056080937344865335,0.007370265977607156,3.7050031405963715,0.00021138811352217068,True,4,2,0101,0.5,False,rejected
MU,1d,state_ext=stretched_down + state_vol=mid_vol,long,0.0,130,0.0020647699984291624,0.002420679644454857,-0.0003559096460256945,state_ext=stretched_down,0.009107489486461147,-0.007042719488031985,0.23700518913437968,False,2,0.06296560072784338,0.03936221203450741,0.023603388693335968,state_vol=mid_vol,0.05384592553617776,0.009119675191665622,1.484429094487669,0.13769512094729763,False,4,1,0100,0.25,False,rejected
AMD,1d,state_ext=neutral + state_slope=uptrend,short,0.0,20,0.025533274967721703,-0.004492806010242341,0.030026080977964043,state_slope=uptrend,0.005393870338950637,0.020139404628771066,1.38694121735529,False,6,0.057784554648805796,-0.023886370913612495,0.08167092556241828,state_ext=neutral,0.018759392736101253,0.03902516191270454,0.779482978944844,0.4356952603235369,False,4,0,0000,0.0,False,rejected
AMAT,1d,state_ext=neutral + state_vol=high_vol,long,0.0,30,-0.013813607014302091,0.0025515664597506693,-0.01636517347405276,state_ext=neutral,-0.0022602720129415088,-0.011553335001360583,-1.4555586887792453,False,20,0.05743700856963252,0.020488956561583768,0.03694805200804875,state_vol=high_vol,0.03463496871045758,0.022802039859174943,2.4813853903664826,0.013087278925607126,True,4,1,0001,0.25,False,rejected
MU,1d,state_ext=stretched_up + state_slope=uptrend,long,0.0,182,-0.002588597987364473,0.002420679644454857,-0.00500927763181933,state_ext=stretched_up,-0.0015055844588130554,-0.0010830135285514176,-0.3581552416549357,False,187,0.05349942487807685,0.03936221203450741,0.01413721284356944,state_slope=uptrend,0.053537883151326834,-3.84582732499833e-05,3.7951646097154046,0.0001475455297972328,True,4,1,0001,0.25,False,rejected
MU,1d,state_ext=stretched_up + state_vol=mid_vol,long,0.0,160,-0.005297117109329602,0.002420679644454857,-0.007717796753784459,state_vol=mid_vol,-0.0007299032283430663,-0.004567213880986536,-0.6099050675463649,False,51,0.051526401917077747,0.03936221203450741,0.012164189882570335,state_vol=mid_vol,0.05384592553617776,-0.0023195236191000113,2.760993873911007,0.00576257573081973,True,4,0,0000,0.0,False,rejected
AMAT,1d,state_ext=stretched_up + state_slope=flat,long,0.0,153,-0.013718590009164184,0.0025515664597506693,-0.016270156468914852,state_ext=stretched_up,-0.0028501887139651123,-0.010868401295199072,-2.1870846725338815,False,44,0.04722395563093365,0.020488956561583768,0.026734999069349882,state_slope=flat,0.0319216599376412,0.015302295693292452,4.487980347977818,7.190155955516531e-06,True,4,1,0001,0.25,False,rejected
AMD,1d,state_ext=stretched_up + state_vol=high_vol,long,0.0,117,-0.021924099614020497,0.00409280601024234,-0.026016905624262836,state_ext=stretched_up,0.006340997699009202,-0.0282650973130297,-1.8755776851849149,False,76,0.04716359620914575,0.023486370913612498,0.023677225295533254,state_ext=stretched_up,0.042831035751643674,0.004332560457502077,2.764558129343349,0.005699995026247295,True,4,1,0001,0.25,False,rejected
AMD,1d,state_ext=neutral + state_vol=mid_vol,short,0.0,34,-0.016329831153421622,-0.004492806010242341,-0.011837025143179282,state_ext=neutral,-0.0036265177858608587,-0.012703313367560764,-1.386653977134435,False,14,0.04700844335875259,-0.023886370913612495,0.07089481427236508,state_ext=neutral,0.018759392736101253,0.028249050622651335,1.42545909177194,0.15402453716514142,False,4,0,0000,0.0,False,rejected
MU,1d,state_ext=neutral + state_slope=uptrend,long,0.0,12,0.0077486115009297975,0.002420679644454857,0.005327931856474941,state_ext=neutral,-0.0024033340101664857,0.010151945511096282,0.3868721261890639,False,12,0.0469552981348565,0.03936221203450741,0.007593086100349089,state_slope=uptrend,0.053537883151326834,-0.006582585016470334,1.8420059156543946,0.06547428457320636,False,4,0,0000,0.0,False,rejected
